收藏频道,#genre#
Bloomberg TV,mitv://generationnexxxt.com:19806/885bb543b9cb4bbeb5bcfe518fb90780
BBC World News,mitv://generationnexxxt.com:19806/ecc7214268ee448ab42b65d9f2e2663a
CGTN,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8#https://livedoc.cgtn.com/500d/prog_index.m3u8
CNBC,mitv://generationnexxxt.com:19806/b642a4ce45734a7190f0acbd8cd462dd
CNA,mitv://generationnexxxt.com:19806/52b67f21b37b4764a87c33dd46844fdb
CNN,mitv://generationnexxxt.com:19806/cc0fd522ff3f4f37a53773c138dacac1
BBC World News,mitv://generationnexxxt.com:19806/6579228c000c47523171f9583333664f
CNN USA,mitv://generationnexxxt.com:19806/6579228c000644123171f7d14c4002bd
CBC News,mitv://generationnexxxt.com:19806/6579228b000ea7c13171f60c6a0d21f3
MSNBC,mitv://generationnexxxt.com:19806/6579228b000782ab3171f43764692427
CTV News,mitv://generationnexxxt.com:19806/6579228b0000fa413171f29242d67919
重温经典,http://125.210.150.58:9090/live/hzgq-cwjdgq-h264.m3u8
上海第一财经,http://178.157.60.73/proxy/1946402424/1946402424.m3u8
南京信息,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
南京教科,http://live.nbs.cn/channels/njtv/jkpd/nbs06.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
江苏城市,https://epg.pw/stream/675206b8446ce719bfb293b5a5296db3aa26521c9810de7c996838247cc56964.m3u8
江苏综艺,https://epg.pw/stream/f8ef469943662bed2abc6609d9ef1720b9e93a8a0bd6f5789133461e36763f37.m3u8
扬州2套,http://cm-wshls.homecdn.com/live/8bd.m3u8
高邮综合,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
香港佛陀,https://live.jingzong.org/live/hd/playlist.m3u8
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港,http://103.95.24.37:880/fhxgt.m3u8
唯心电视,https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8

南京LIVE,#genre#
南京Live,http://178.157.60.73/proxy/2096554630/2096554630.m3u8
江苏南京长江大桥,http://178.157.60.73/proxy/1764141811/1764141811.m3u8
江苏南京玄武湖,http://178.157.60.73/proxy/1985889373/1985889373.m3u8
江苏南京永宁张圩花海,http://178.157.60.73/proxy/25264739/25264739.m3u8
南京南站,http://178.157.60.73/proxy/2072143452/2072143452.m3u8
南京紫金山,http://178.157.60.73/proxy/177566095/177566095.m3u8
南京音乐台,http://178.157.60.73/proxy/171515367/171515367.m3u8
南京情侣园,http://178.157.60.73/proxy/185079179/185079179.m3u8
南京长江大桥,http://178.157.60.73/proxy/1033254824/1033254824.m3u8
南京栖霞山,http://178.157.60.73/proxy/182710545/182710545.m3u8
南京鼓楼广场,http://178.157.60.73/proxy/960879458/960879458.m3u8
南京新街口,http://178.157.60.73/proxy/183420062/183420062.m3u8
南京紫峰眺望,http://178.157.60.73/proxy/1222351744/1222351744.m3u8
南京白鹭洲公园,http://178.157.60.73/proxy/320590871/320590871.m3u8
南京北极阁,http://178.157.60.73/proxy/188239043/188239043.m3u8
南京三汊河,http://178.157.60.73/proxy/189455176/189455176.m3u8
南京黄龙砚,http://178.157.60.73/proxy/169184085/169184085.m3u8
南京矿坑公园,http://178.157.60.73/proxy/1263482067/1263482067.m3u8
南京百家湖,http://178.157.60.73/proxy/179633244/179633244.m3u8
南京眼,http://178.157.60.73/proxy/1734263806/1734263806.m3u8
南京五马渡,http://178.157.60.73/proxy/188955121/188955121.m3u8
浙江舟山嵊泗县中心渔港,http://178.157.60.73/proxy/748822183/748822183.m3u8
浙江温州泰顺县廊桥文化园,http://178.157.60.73/proxy/1144314894/1144314894.m3u8
浙江舟山东极岛,http://178.157.60.73/proxy/1973269961/1973269961.m3u8
浙江杭州千岛湖,http://178.157.60.73/proxy/1683811739/1683811739.m3u8
浙江嘉兴乌镇,http://178.157.60.73/proxy/463129046/463129046.m3u8
安徽黄山黟县,http://178.157.60.73/proxy/1759244982/1759244982.m3u8
上海南浦大桥,http://178.157.60.73/proxy/1514561649/1514561649.m3u8
西藏林芝米林岷山彩门民宿,http://178.157.60.73/proxy/751076408/751076408.m3u8
西藏林芝岷山错高民宿,http://178.157.60.73/proxy/680426319/680426319.m3u8
西藏日喀则珠穆朗玛峰,http://178.157.60.73/proxy/209923082/209923082.m3u8
西藏拉萨布达拉宫,http://178.157.60.73/proxy/800329695/800329695.m3u8
西藏林芝墨脱县,http://178.157.60.73/proxy/476608588/476608588.m3u8
新疆喀什达瓦昆景区,http://178.157.60.73/proxy/404107611/404107611.m3u8
新疆伊犁州蝶湖公园,http://178.157.60.73/proxy/132379804/132379804.m3u8
